time_ms,node_id,rssi_dbm,collided
13524,11,-52.84282551013513,False
13561,0,-51.50617211780494,False
13561,7,-14.6252619660141,False
13569,4,-29.25934819085409,False
13601,11,-52.84282551013513,False
13630,6,-51.5901142214492,False
13646,1,-66.72139026941323,False
13654,3,-17.283447100014683,False
13662,7,-14.6252619660141,False
13678,5,-31.894088462747455,False
13699,6,-51.5901142214492,False
13731,5,-31.894088462747455,False
13755,4,-29.25934819085409,False
13763,1,-66.72139026941323,False
13763,7,-14.6252619660141,False
13763,11,-52.84282551013513,False
13800,1,-66.72139026941323,False
13800,5,-31.894088462747455,False
13824,9,-63.6548145942005,False
13877,9,-63.6548145942005,False
13901,3,-17.283447100014683,False
13909,7,-14.6252619660141,False
13917,2,-57.08267569168619,False
13930,5,-31.894088462747455,False
13938,2,-57.08267569168619,False
13962,4,-29.25934819085409,False
14047,3,-17.283447100014683,False
14055,8,-49.23720914934826,False
14071,9,-63.6548145942005,False
14100,5,-31.894088462747455,True
14100,4,-29.25934819085409,True
14124,8,-49.23720914934826,False
14132,3,-17.283447100014683,False
14161,5,-31.894088462747455,False
14169,3,-17.283447100014683,False
14222,10,-65.6284263160874,False
14230,7,-14.6252619660141,False
14262,5,-31.894088462747455,False
14262,8,-49.23720914934826,False
14278,4,-29.25934819085409,False
14299,7,-14.6252619660141,False
14347,4,-29.25934819085409,False
14360,0,-51.50617211780494,False
14376,4,-29.25934819085409,False
14392,1,-66.72139026941323,False
14400,6,-51.5901142214492,False
14400,7,-14.6252619660141,False
14416,3,-17.283447100014683,False
14416,5,-31.894088462747455,False
14429,0,-51.50617211780494,False
14429,4,-29.25934819085409,False
14453,10,-65.6284263160874,True
14453,1,-66.72139026941323,True
14469,11,-52.84282551013513,False
14477,2,-57.08267569168619,False
14485,6,-51.5901142214492,False
14506,0,-51.50617211780494,False
14522,2,-57.08267569168619,False
14522,7,-14.6252619660141,False
14530,11,-52.84282551013513,False
14562,6,-51.5901142214492,False
14575,9,-63.6548145942005,False
14607,4,-29.25934819085409,False
14631,3,-17.283447100014683,False
14668,3,-17.283447100014683,False
14668,5,-31.894088462747455,False
14716,9,-63.6548145942005,False
14745,10,-65.6284263160874,False
14753,3,-17.283447100014683,False
14870,5,-31.894088462747455,False
14878,7,-14.6252619660141,False
14891,3,-17.283447100014683,False
14891,4,-29.25934819085409,False
14923,8,-49.23720914934826,False
14923,11,-52.84282551013513,False
14952,3,-17.283447100014683,False
14952,9,-63.6548145942005,False
14960,7,-14.6252619660141,False
14960,5,-31.894088462747455,False
14976,11,-52.84282551013513,False
